timestamp,cpu_percent,ram_mb,threads,sys_ram_used_mb,sys_ram_percent
2025-06-05T10:43:32.503613,3.5,58.59375,11,5574.203125,57.6
2025-06-05T10:43:34.509695,0.4,58.796875,11,6038.890625,60.4
2025-06-05T10:43:36.526375,1.3,59.078125,11,6290.328125,61.7
2025-06-05T10:43:38.548506,3.7,60.4375,11,6917.5625,65.5
2025-06-05T10:43:40.549564,5.9,59.5625,11,7435.6875,69.2
2025-06-05T10:43:42.550784,1.5,66.421875,11,7533.703125,70.2
2025-06-05T10:43:44.561256,4.3,64.984375,11,7253.84375,69.8
2025-06-05T10:43:46.570490,18.5,58.71875,15,7224.28125,70.0
2025-06-05T10:43:48.573089,22.0,65.765625,15,7069.84375,70.0
2025-06-05T10:43:50.578590,22.9,66.0,15,6987.140625,70.6
2025-06-05T10:43:52.584262,28.7,66.359375,15,6773.3125,71.8
2025-06-05T10:43:54.586288,26.5,66.578125,15,6612.171875,73.2
2025-06-05T10:44:44.501223,3.8,59.078125,11,4900.234375,56.3
2025-06-05T10:44:46.504467,0.4,59.265625,11,5072.640625,57.3
2025-06-05T10:44:48.510257,1.1,59.5625,11,5652.875,60.9
2025-06-05T10:44:50.510944,3.8,60.78125,11,5905.015625,62.3
2025-06-05T10:44:52.525332,5.4,62.890625,11,6267.59375,64.5
2025-06-05T10:44:54.531326,2.8,63.0625,11,7072.984375,69.4
2025-06-05T10:44:56.536843,1.5,68.84375,11,7307.953125,70.7
2025-06-05T10:44:58.538120,2.9,71.0,11,7213.125,70.9
2025-06-05T10:45:00.541605,33.9,70.046875,18,6989.875,71.0
2025-06-05T10:45:02.543551,31.1,54.390625,18,6884.484375,71.8
2025-06-05T10:45:04.547662,31.6,54.453125,18,6788.96875,71.9
2025-06-05T10:45:06.551991,18.9,55.265625,18,6667.625,72.6
2025-06-05T10:45:08.553615,21.8,54.953125,18,6536.140625,72.9
2025-06-05T10:45:10.559124,26.3,63.9375,18,6270.640625,74.8
2025-06-05T10:45:12.564489,23.6,64.0625,18,6188.65625,75.4
2025-06-05T10:45:14.568544,19.0,64.609375,18,6174.421875,75.4
2025-06-05T10:45:16.574591,27.5,65.390625,18,6197.328125,75.7
2025-06-05T10:45:18.580263,29.4,65.875,18,6162.484375,75.5
2025-06-05T10:45:20.583841,30.0,66.375,18,6121.359375,75.7
2025-06-05T10:45:22.590049,32.0,51.890625,19,6098.625,76.1
2025-06-05T10:45:24.591928,32.6,51.109375,19,6031.96875,76.4
2025-06-05T10:45:26.593478,34.5,65.734375,19,6070.96875,76.2
2025-06-05T10:45:28.599170,31.1,64.34375,19,6020.90625,76.9
2025-06-05T10:45:30.603231,29.8,46.171875,19,5969.328125,77.3
2025-06-05T10:45:32.604738,32.3,47.140625,19,5857.734375,77.7
2025-06-05T10:45:34.605574,29.3,63.421875,19,5754.34375,78.0
